odt,Proceso1,Proceso2,Proceso3,Proceso4,Proceso5,Proceso6,Fecha1,Fecha1F,Fecha2,Fecha2F,Fecha3,Fecha3F,Fecha4,Fecha4F,Fecha5,Fecha5F,Fecha6,Fecha6F
I3386,Corte,Suaje,Serigrafia,Grabado,Acabado,,2017-09-06,2017-09-07,2017-09-07,2017-09-08,2017-09-08,2017-09-11,2017-09-11,2017-09-12,2017-09-12,2017-09-14,2017-09-14,2017-09-14
L1032,Corte,Suaje,Serigrafia,Grabado,Acabado,,2017-09-08,2017-09-11,2017-09-11,2017-09-12,2017-09-12,2017-09-13,2017-09-13,2017-09-14,2017-09-14,2017-09-15,2017-09-15,2017-09-15
B6058,Corte,Serigrafia,Serigrafia,,,,2017-09-11,2017-09-12,2017-09-12,2017-09-15,2017-09-15,2017-09-20,2017-09-20,2017-09-20,2017-09-20,2017-09-20,2017-09-20,2017-09-20
L1029,Corte,Suaje,Serigrafia,Acabado,,,2017-09-08,2017-09-11,2017-09-11,2017-09-12,2017-09-12,2017-09-13,2017-09-13,2017-09-14,2017-09-14,2017-09-14,2017-09-14,2017-09-14
H4140,Corte,Suaje,Serigrafia,Serigrafia,,,2017-08-30,2017-08-31,2017-08-31,2017-09-01,2017-09-01,2017-09-05,2017-09-05,2017-09-07,2017-09-07,2017-09-07,2017-09-07,2017-09-07
67873,,,,,,,,,,,,,,,,,,
67969,,,,,,,,,,,,,,,,,,
70001,,,,,,,,,,,,,,,,,,
67992,,,,,,,,,,,,,,,,,,
68031,,,,,,,,,,,,,,,,,,
E2298,,,,,,,,,,,,,,,,,,
68071,,,,,,,,,,,,,,,,,,
I3010,Corte,Laser,Suaje,Serigrafia,Grabado,Acabado,2017-08-10,2017-08-11,2017-08-11,2017-08-14,2017-08-14,2017-08-15,2017-08-15,2017-08-16,2017-08-16,2017-08-17,2017-08-17,2017-08-18
I3015,Corte,Suaje,Serigrafia,Digital,Acabado,,2017-08-30,2017-08-31,2017-08-31,2017-09-01,2017-09-01,2017-09-04,2017-09-04,2017-09-05,2017-09-05,2017-09-06,2017-09-06,2017-09-06
68090,,,,,,,,,,,,,,,,,,
G0804,Corte,Suaje,Serigrafia,Acabado,,,2017-05-19,2017-05-22,2017-05-22,2017-05-23,2017-05-23,2017-05-24,2017-05-24,2017-05-29,2017-05-29,2017-05-29,2017-05-29,2017-05-29
68127,,,,,,,,,,,,,,,,,,
I3114V1,Corte,Suaje,Serigrafia,Hot Stamping,Acabado,,2017-08-29,2017-08-30,2017-08-30,2017-08-31,2017-08-31,2017-09-01,2017-09-01,2017-09-04,2017-09-04,2017-09-05,2017-09-05,2017-09-05
68118,Corte,Suaje,Serigrafia,Grabado,Acabado,,2017-03-15,2017-03-16,2017-03-16,2017-03-20,2017-03-20,2017-03-21,2017-03-21,2017-03-22,2017-03-22,2017-03-23,2017-03-23,2017-03-23
H3556,,,,,,,,,,,,,,,,,,
70008,,,,,,,,,,,,,,,,,,
H3685,Corte,Serigrafia,Acabado,,,,2017-08-11,2017-08-14,2017-08-14,2017-08-15,2017-08-15,2017-08-18,2017-08-18,2017-08-18,2017-08-18,2017-08-18,2017-08-18,2017-08-18
68156,Corte,Suaje,Digital,Acabado,,,2017-05-05,2017-05-08,2017-05-08,2017-05-10,2017-05-10,2017-05-11,2017-05-11,2017-05-16,2017-05-16,2017-05-16,2017-05-16,2017-05-16
68157,,,,,,,,,,,,,,,,,,
68158,Corte,Suaje,Digital,Acabado,,,2017-05-05,2017-05-08,2017-05-08,2017-05-10,2017-05-10,2017-05-11,2017-05-11,2017-05-16,2017-05-16,2017-05-16,2017-05-16,2017-05-16
I3233,,,,,,,,,,,,,,,,,,
H3720,,,,,,,,,,,,,,,,,,
H3721,Corte,Suaje,Serigrafia,Acabado,,,2017-08-09,2017-08-10,2017-08-10,2017-08-11,2017-08-11,2017-08-14,2017-08-14,2017-08-15,2017-08-15,2017-08-15,2017-08-15,2017-08-15
B5719,Corte,Digital,,,,,2017-07-28,2017-07-31,2017-07-31,2017-08-01,2017-08-01,2017-08-01,2017-08-01,2017-08-01,2017-08-01,2017-08-01,2017-08-01,2017-08-01
B5720,Corte,Suaje,Digital,Acabado,,,2017-06-23,2017-06-26,2017-06-26,2017-06-27,2017-06-27,2017-06-28,2017-06-28,2017-06-29,2017-06-29,2017-06-29,2017-06-29,2017-06-29
B5721,,,,,,,,,,,,,,,,,,
B5722,Corte,Suaje,Serigrafia,Grabado,Acabado,,2017-09-08,2017-09-11,2017-09-11,2017-09-12,2017-09-12,2017-09-13,2017-09-13,2017-09-14,2017-09-14,2017-09-15,2017-09-15,2017-09-15
H3796,,,,,,,,,,,,,,,,,,
H3798,,,,,,,,,,,,,,,,,,
I3258,Corte,Suaje,Serigrafia,Acabado,,,2017-09-01,2017-09-04,2017-09-04,2017-09-05,2017-09-05,2017-09-07,2017-09-07,2017-09-11,2017-09-11,2017-09-11,2017-09-11,2017-09-11
B5777,Corte,Suaje,Serigrafia,Grabado,Acabado,,2017-08-14,2017-08-15,2017-08-15,2017-08-16,2017-08-16,2017-08-17,2017-08-17,2017-08-18,2017-08-18,2017-08-21,2017-08-21,2017-08-21
G0889V2,Corte,Suaje,Serigrafia,Hot Stamping,Acabado,,2017-08-21,2017-08-22,2017-08-22,2017-08-24,2017-08-24,2017-08-25,2017-08-25,2017-08-28,2017-08-28,2017-08-29,2017-08-29,2017-08-29
H3831,Corte,Suaje,Serigrafia,Acabado,,,2017-08-04,2017-08-07,2017-08-07,2017-08-09,2017-08-09,2017-08-10,2017-08-10,2017-08-11,2017-08-11,2017-08-11,2017-08-11,2017-08-11
I3284,Corte,Suaje,Serigrafia,Grabado,Acabado,,2017-08-09,2017-08-10,2017-08-10,2017-08-11,2017-08-11,2017-08-14,2017-08-14,2017-08-15,2017-08-15,2017-08-16,2017-08-16,2017-08-16
H3908,,,,,,,,,,,,,,,,,,
68211,,,,,,,,,,,,,,,,,,
68212,,,,,,,,,,,,,,,,,,
B5833,Corte,Serigrafia,Acabado,,,,2017-08-24,2017-08-25,2017-08-25,2017-08-29,2017-08-29,2017-08-30,2017-08-30,2017-08-30,2017-08-30,2017-08-30,2017-08-30,2017-08-30
D2292,Corte,Suaje,Serigrafia,Grabado,Acabado,,2017-09-01,2017-09-04,2017-09-04,2017-09-05,2017-09-05,2017-09-06,2017-09-06,2017-09-07,2017-09-07,2017-09-08,2017-09-08,2017-09-08
L1000V1,Corte,Suaje,Serigrafia,Grabado,Acabado,,2017-08-18,2017-08-21,2017-08-21,2017-08-22,2017-08-22,2017-08-23,2017-08-23,2017-08-24,2017-08-24,2017-08-25,2017-08-25,2017-08-25
L1006,,,,,,,,,,,,,,,,,,
G0899,Corte,Suaje,Serigrafia,Grabado,Acabado,,2017-09-01,2017-09-04,2017-09-04,2017-09-05,2017-09-05,2017-09-06,2017-09-06,2017-09-07,2017-09-07,2017-09-08,2017-09-08,2017-09-08
70019,,,,,,,,,,,,,,,,,,
H3924,Corte,Serigrafia,Acabado,,,,2017-08-25,2017-08-28,2017-08-28,2017-08-29,2017-08-29,2017-08-30,2017-08-30,2017-08-30,2017-08-30,2017-08-30,2017-08-30,2017-08-30
H3985,,,,,,,,,,,,,,,,,,
H3986,,,,,,,,,,,,,,,,,,
H3926,Corte,Suaje,Serigrafia,Acabado,,,2017-08-30,2017-08-31,2017-08-31,2017-09-01,2017-09-01,2017-09-04,2017-09-04,2017-09-05,2017-09-05,2017-09-05,2017-09-05,2017-09-05
68225,,,,,,,,,,,,,,,,,,
B6013,,,,,,,,,,,,,,,,,,
I3284OT,,,,,,,,,,,,,,,,,,
68243,,,,,,,,,,,,,,,,,,
H4016,Corte,Digital,Acabado,,,,2017-08-07,2017-08-08,2017-08-08,2017-08-09,2017-08-09,2017-08-10,2017-08-10,2017-08-10,2017-08-10,2017-08-10,2017-08-10,2017-08-10
68227,,,,,,,,,,,,,,,,,,
B5887,Corte,Suaje,Serigrafia,Letter Press,Acabado,,2017-08-11,2017-08-14,2017-08-14,2017-08-15,2017-08-15,2017-08-16,2017-08-16,2017-08-17,2017-08-17,2017-08-18,2017-08-18,2017-08-18
B5894,,,,,,,,,,,,,,,,,,
H3932,,,,,,,,,,,,,,,,,,
H3998,,,,,,,,,,,,,,,,,,
H3993,Corte,Serigrafia,Acabado,,,,2017-08-10,2017-08-11,2017-08-11,2017-08-14,2017-08-14,2017-08-17,2017-08-17,2017-08-17,2017-08-17,2017-08-17,2017-08-17,2017-08-17
H3994,Corte,Suaje,Digital,Acabado,,,2017-07-18,2017-07-19,2017-07-19,2017-07-20,2017-07-20,2017-07-21,2017-07-21,2017-07-24,2017-07-24,2017-07-24,2017-07-24,2017-07-24
J1056,Corte,Suaje,Serigrafia,Grabado,Acabado,,2017-08-11,2017-08-14,2017-08-14,2017-08-15,2017-08-15,2017-08-16,2017-08-16,2017-08-17,2017-08-17,2017-08-18,2017-08-18,2017-08-18
B5903,Corte,Suaje,Serigrafia,Grabado,Acabado,,2017-08-29,2017-08-30,2017-08-30,2017-08-31,2017-08-31,2017-09-01,2017-09-01,2017-09-04,2017-09-04,2017-09-05,2017-09-05,2017-09-05
G0902,Corte,Suaje,Serigrafia,Hot Stamping,Acabado,,2017-09-05,2017-09-06,2017-09-06,2017-09-08,2017-09-08,2017-09-11,2017-09-11,2017-09-12,2017-09-12,2017-09-13,2017-09-13,2017-09-13
H3960R,,,,,,,,,,,,,,,,,,
I3322,Corte,Suaje,Serigrafia,Grabado,Acabado,,2017-08-08,2017-08-09,2017-08-09,2017-08-10,2017-08-10,2017-08-11,2017-08-11,2017-08-14,2017-08-14,2017-08-15,2017-08-15,2017-08-15
H3983,,,,,,,,,,,,,,,,,,
B5926R,,,,,,,,,,,,,,,,,,
70021,,,,,,,,,,,,,,,,,,
H4064,,,,,,,,,,,,,,,,,,
I3363,Corte,Suaje,Serigrafia,Acabado,,,2017-08-10,2017-08-11,2017-08-11,2017-08-14,2017-08-14,2017-08-15,2017-08-15,2017-08-16,2017-08-16,2017-08-16,2017-08-16,2017-08-16
I3339,Corte,Serigrafia,Acabado,,,,2017-08-18,2017-08-21,2017-08-21,2017-08-22,2017-08-22,2017-08-25,2017-08-25,2017-08-25,2017-08-25,2017-08-25,2017-08-25,2017-08-25
68247,Corte,Digital,Acabado,,,,2017-08-30,2017-08-31,2017-08-31,2017-09-01,2017-09-01,2017-09-06,2017-09-06,2017-09-06,2017-09-06,2017-09-06,2017-09-06,2017-09-06
