numodt,elemento,nombre_proceso
H4236,,Corte
H4236,,Encuadernacion
H4224,,Grabado
G0899,,Hot Stamping
J1068,,Hot Stamping
B6099,,Serigrafia
F1662,,Digital
L1032,,Acabado
H4220,,Acabado
H4016,,Acabado
B6054,,Suaje
I3406,Abanico,Acabado
B6099,Albanene,Corte
F1662,Albanene,Corte
B6099,Albanene,Serigrafia
68227,Armado,Encuadernacion
M0696,Asa,Corte
M0696,Asa,Suaje
M0696,Asa,Encuadernacion
68071,Boleto,Corte
I3015,Boleto,Corte
68118,Boleto,Corte
D2168,Boleto,Corte
K2680V1,Boleto,Corte
I3233,Boleto,Corte
I3248,Boleto,Corte
G0889V2,Boleto,Corte
H3831,Boleto,Corte
I3258,Boleto,Corte
G0899,Boleto,Corte
H3924,Boleto,Corte
H3926,Boleto,Corte
68225,Boleto,Corte
H3960,Boleto,Corte
B5887,Boleto,Corte
H3962,Boleto,Corte
B5894,Boleto,Corte
B5903,Boleto,Corte
G0902,Boleto,Corte
I3322,Boleto,Corte
F1586,Boleto,Corte
D2342,Boleto,Corte
B5991,Boleto,Corte
J1058,Boleto,Corte
J1059,Boleto,Corte
D2353V1,Boleto,Corte
J1066,Boleto,Corte
B6022,Boleto,Corte
J1068,Boleto,Corte
J1069,Boleto,Corte
B6040,Boleto,Corte
H4100,Boleto,Corte
F1612,Boleto,Corte
J1070,Boleto,Corte
H4124,Boleto,Corte
I3386,Boleto,Corte
L1032,Boleto,Corte
H4131,Boleto,Corte
H4133,Boleto,Corte
I3392,Boleto,Corte
B6064,Boleto,Corte
I3401,Boleto,Corte
F1627,Boleto,Corte
B6079,Boleto,Corte
B6082,Boleto,Corte
G0913,Boleto,Corte
I3405,Boleto,Corte
L1040,Boleto,Corte
B6091,Boleto,Corte
H4167,Boleto,Corte
B6092,Boleto,Corte
D2386,Boleto,Corte
I3412,Boleto,Corte
B5887OT,Boleto,Corte
B6098,Boleto,Corte
I3415,Boleto,Corte
B6113,Boleto,Corte
H4201,Boleto,Corte
B6118,Boleto,Corte
B6119,Boleto,Corte
B6121,Boleto,Corte
B6122,Boleto,Corte
H4212,Boleto,Corte
I3419,Boleto,Corte
H4215,Boleto,Corte
J1083,Boleto,Corte
H4218,Boleto,Corte
68117D,Boleto,Corte
K2715,Boleto,Corte
H4220,Boleto,Corte
B5918E1,Boleto,Corte
B6133,Boleto,Corte
H4229,Boleto,Corte
B6135,Boleto,Corte
F1612E1,Boleto,Corte
H3720E1,Boleto,Corte
H4244,Boleto,Corte
F1660,Boleto,Corte
F1661,Boleto,Corte
H4247,Boleto,Corte
I3426,Boleto,Corte
J1088,Boleto,Corte
68118,Boleto,Grabado
G0899,Boleto,Grabado
G0899,Boleto,Grabado
H3926,Boleto,Grabado
B5903,Boleto,Grabado
I3322,Boleto,Grabado
F1586,Boleto,Grabado
B6022,Boleto,Grabado
J1069,Boleto,Grabado
J1069,Boleto,Grabado
I3386,Boleto,Grabado
L1032,Boleto,Grabado
B6064,Boleto,Grabado
I3405,Boleto,Grabado
L1040,Boleto,Grabado
B6098,Boleto,Grabado
H4212,Boleto,Grabado
68117D,Boleto,Grabado
68117D,Boleto,Grabado
H4229,Boleto,Grabado
H3720E1,Boleto,Grabado
H4244,Boleto,Grabado
H4247,Boleto,Grabado
J1088,Boleto,Grabado
K2680V1,Boleto,Hot Stamping
G0889V2,Boleto,Hot Stamping
68225,Boleto,Hot Stamping
H3960,Boleto,Hot Stamping
G0902,Boleto,Hot Stamping
D2342,Boleto,Hot Stamping
F1612,Boleto,Hot Stamping
J1070,Boleto,Hot Stamping
B6079,Boleto,Hot Stamping
G0913,Boleto,Hot Stamping
B6092,Boleto,Hot Stamping
B6119,Boleto,Hot Stamping
J1083,Boleto,Hot Stamping
B6135,Boleto,Hot Stamping
F1612E1,Boleto,Hot Stamping
H3720E1,Boleto,Hot Stamping
F1660,Boleto,Hot Stamping
B6092,Boleto,Serigrafia
B6098,Boleto,Serigrafia
I3233,Boleto,Digital
I3248,Boleto,Digital
68225,Boleto,Digital
H3962,Boleto,Digital
I3415,Boleto,Digital
I3426,Boleto,Digital
B5887,Boleto,Letter Press
B5887OT,Boleto,Letter Press
I3248,Boleto,Suaje
H3962,Boleto,Suaje
H4124,Boleto,Suaje
I3419,Boleto,Suaje
F1661,Boleto,Suaje
I3426,Boleto,Suaje
68071,Boleto,Serigrafia
I3015,Boleto,Serigrafia
68118,Boleto,Serigrafia
D2168,Boleto,Serigrafia
K2680V1,Boleto,Serigrafia
I3248,Boleto,Serigrafia
G0889V2,Boleto,Serigrafia
H3831,Boleto,Serigrafia
I3258,Boleto,Serigrafia
G0899,Boleto,Serigrafia
H3924,Boleto,Serigrafia
H3926,Boleto,Serigrafia
H3960,Boleto,Serigrafia
B5894,Boleto,Serigrafia
B5903,Boleto,Serigrafia
G0902,Boleto,Serigrafia
I3322,Boleto,Serigrafia
F1586,Boleto,Serigrafia
D2342,Boleto,Serigrafia
B5991,Boleto,Serigrafia
J1058,Boleto,Serigrafia
J1059,Boleto,Serigrafia
D2353V1,Boleto,Serigrafia
J1066,Boleto,Serigrafia
B6022,Boleto,Serigrafia
J1068,Boleto,Serigrafia
J1069,Boleto,Serigrafia
B6040,Boleto,Serigrafia
F1612,Boleto,Serigrafia
J1070,Boleto,Serigrafia
H4124,Boleto,Serigrafia
I3386,Boleto,Serigrafia
L1032,Boleto,Serigrafia
